Title,Location,Company,Salary,Sponsored,Description,
Sr. Data Scientist,Remote,Slack,None,Organic,"Slack is hiring an experienced data scientist on our Research & Analytics team. You’ll join our team of experts using a variety of data science and research methods to partner with key decision makers within the company. You’ll craft narratives that help us understand our users and our product and inform and influence decisions.
As an experienced data scientist, you will help to make Slack’s Research + Analytics team best-in-class by advocating for and implementing changes to process, tools, and systems. You will be a strong partner to researchers with varying backgrounds, including design researchers, market researchers, and survey scientists.
Slack has a positive, diverse, and supportive culture—we look for people who are curious, inventive, and work to be a little better every single day. In our work together we aim to be smart, humble, hardworking and, above all, collaborative. If this sounds like a good fit for you, why not say hello?
What you will be doing
Partnering closely with our “Platform” Product team to explore and understand how external services bring value to Slack.
Applying various data science methods such as causal inference, experiments, machine learning, modeling, and forecasting to understand the most important aspects of our product, users, and business.
Organizing disparate facts and findings into powerful narratives that have the broadest possible application within Slack.
Evangelizing evidence-based decision making by partnering with key decision makers, and driving general accessibility of data and insights.
Identify and drive improvements to the execution of the full Research + Analytics team through standardization of process and authoring best practices.
What you should have
5+ years of professional industry experience doing quantitative analysis. An advanced degree (MS, PhD) in a quantitative field (e.g. Computer Science, Econometrics, Physics) a plus.
A consistent record of using product data to drive product, sales, and/or marketing teams to achieve ambitious goals and influencing outcomes.
The ability to clearly and effectively communicate the results of complex analysis to a broad audience
Expertise in at least one programming language for data analysis (e.g. Python, R).
Expertise in designing and testing experiments.
Experience working with data technologies that allow effective storage and analysis of large amounts of data (e.g. Hadoop, Hive, Spark, Presto, S3, etc).
Slack is a layer of the business technology stack that brings together people, data, and applications – a single place where people can effectively work together, find important information, and access hundreds of thousands of critical applications and services to do their best work. From global Fortune 100 companies to corner markets, businesses and teams of all kinds use Slack to bring the right people together with all the right information. Slack is headquartered in San Francisco, CA and has offices around the world. For more information on how Slack makes teams better connected, visit slack.com.
Ensuring a diverse and inclusive workplace where we learn from each other is core to Slack’s values. We welcome people of different backgrounds, experiences, abilities and perspectives. We are an equal opportunity employer and a pleasant and supportive place to work.
Come do the best work of your life here at Slack.",
Data Scientist,"Andheri, Mumbai, Maharashtra",Angel broking,None,Organic,"Expertise or extensive experience with Python/ R -programming
A thorough understanding of SQL databases
Excellent technical abilities
statistics and machine-learning optimization skills;
knowledge of big data
insightful data visualization capability
to use algorithms and programming to efficiently go through large datasets
Define unstructured data needs, evaluate data quality, and extract/transform data
data science programming languages and big data tools including R, Python, Spark, SQL, Hadoop
Development and deployment of an advanced solution in a Big Data
Experience Range:
4 - 8 years
Educational Qualifications:
Any graduation,
Skills Required :
data scientist, data analyst,
Candidate Attributes :
Should be good at R Python and Big Data",
Data Scientist,"Bengaluru, Karnataka",Sequretek,None,Organic,"About us & Vision
Sequretek is an Indian MNC focused on Information Security and Information Management space. The company is backed by industry veterans who have come together with a vision to build India’s leading Information Security company.
Sequretek’s customers have appreciated its solution offerings, and within a short span the company has acquired marquee clientele in Financial, Pharmaceutical, IT/ITES, and Retail and Logistics sectors.
Sequretek probably is the one of the very few companies that offers a blend of its own core threat intelligence products along with both on-premise and cloud solutions. Our end point detection, protection, and response technology – EDPR is the industry’s only product that replaces up to six different endpoint technologies for our customers.
Our vision is to establish and sustain Sequretek as a Global Leader in terms of the ‘Security’ of Enterprise-level Information-Assets through the consistent delivery of world-class products and solutions that leverage state-of-the-art technologies relevant to the contemporary digital economy.
Why Sequretek?
You will be part of an award winning ""Security Product Company of the Year – 2019” announced by Data Security Council of India (A NASSCOM Initiative).
The team is highly visible, agile, and working on critical problems that directly affect the company’s success.
Our researchers regularly appear at various global conferences and are some of the most sought-after thought leaders in the security industry.
Our ML Engine was certified by ICSA Labs for its detection against unknown / little known malwares.
As part of the research group, you will leverage your problem-solving and analytical skills to further our capabilities, as well as publish and present new and novel research.
Education & Experience
Education:
The candidate must have any of the below:
BE/B.Tech/MTech in Computer Science, Statistics, or Data Science.
Experience:
Minimum 1-2 years of experience in applying ML/Deep Learning algorithms and
techniques to real-world data sets.
Key Responsibilities
Skills:
Knowledge of Core Python
Proficiency in Machine learning algorithms (SVM, Decision Trees, PCA, Clustering etc.).
Knowledge and Experience of Deep Learning Algorithms (CNN, RNN, LSTM etc.)
Knowledge of major ML frameworks such as TensorFlow, PyTorch, Keras, and Scikit-Learn.
Strong analytical thinking and problem solving.
Designs scalable processes to collect, manipulate, present, and analyze large datasets in a production-ready environment
Demonstrated participation on platforms like Kaggle is a plus
Prefer great appreciation or expertise in Security products such as End point detection, protection and response, Managed detection and response etc
Must be proactive and flexible and have the ability to work under pressure and possess good follow-through skills.
Must possess excellent written and verbal communication and a quick learner.
Responsibilities:
Wants to build and develop innovative intellectual property through the research and implementation of new approaches in machine learning and simplifying security
Approaches problems from an adversarial mindset in an effort to circumvent prediction systems
Works with internal product and engineering teams to drive development of new products
Has the capability to translate and implement newly published research on specific datasets and problems to validate approaches and potentially improve
Experienced wrangling large volumes of data and applying machine learning techniques towards real product and business problems
Invests time in research including publications, and is committed to keeping up with AI trends
Develop working prototypes of algorithms and evaluate and compare metrics based on large, real-world data sets",
Data Scientist,"Pune, Maharashtra",Right Steps Consultancy,None,Organic,"Location Pune, India – Full Time
Position Expectations
Our Data Science & Machine Learning team is looking for a hands-on data scientist who can independently build statistical & mathematical models and can design & develop performant algorithms of the highest quality. Need to have an aspiration to become an exceptional data scientist with a passion for learning new technologies and high inclination towards research.
Responsibilities
You would be responsible for managing, developing, maintaining industry specific analytical models
The role would involve conducting research and prototyping innovations (new product ideas) along with data and requirements gathering.
The role would also involve testing various machine learning and analytical tools to build prototypes and production-grade systems. Familiarity with big data technologies and distributed computing concepts will be an advantage.
Qualification & Experience
Knowledge of designing & developing analytical solutions (Statistical & Machine Learning) for complex business problems. Below qualities are desired
Technical Graduates
Understanding of concepts and algorithms used in design of experiments
Understanding of R or Python’s data science stack
Understanding of business statistical/ML predictive techniques such as Regression, ANN, Bayesian methods, Decision Trees, SVM etc.
Understanding of NLP and related areas.
Thorough understanding of RDBMS,NoSQL and data management concepts , fluency in SQL scripting
Understanding of cloud computing platforms (AWS/ IBM Watson/ Google Analytics/ MS Azure)
Management Graduates
Domain knowledge in Finance (Corporate/Retail/Investment Banking) and/or Operations (Retail/ SCM/Logistics) and/or Marketing
Good understanding of Business Statistics
Knowledge of IT systems & applications in your area of expertise
General Requirements
Ability to formulate a problem statement and implement analytical solutions by understanding data and problem statement
Passionate about solving problems, quality and learning new technologies
Good communication skills
A flexibility required in terms of performing different types of responsibilities from a start-up perspective
Strong sense of team work, ownership, and accountability
Education
B.E/ B.Tech./M. Tech/ MBA in any field with significant knowledge in one or more of the following : Statistics, Mathematics, Machine Learning, Economics, Finance or Marketing.
Note
Training on core and advanced statistical techniques/methods would be provided",
"Data Scientist, Advanced","Bengaluru, Karnataka",Zebra Technologies,None,Organic,"Overview:
Helps translate high level business problems into actionable and tangible Data Science projects. Analyzes, designs, develops, implements and maintains data science constructs, algorithms, programs, Statistical / Machine Learning Models, decision support system, Artificial/Augmented Intelligence systems using structured, unstructured, diverse “big data” sources of from measurement systems, IoT, human observations to provide real life business problem solutions
and product features/enhancements. Work is accomplished without considerable direction. Exerts significant latitude in determining objectives of assignment to create tangible impact in driving success factors and great experience for our customers and product users.
Responsibilities:
Establishes requirements for highly complex data science constructs, statistical ML
models, decision support systems and may lead a team for the same. Ensure correct
constructs and “most suitable” models are incorporated in solutions, projects and
products.
Designs, Architects, Integrate highly complex data science projects. Completes all
phases from data acquisition to incorporating into product/solutions. Follows
through on all-in-process, final inspection and post production needs such as regular
revision of the models / constructs for consistent fulfillment of business objectives.
Drives reviews of the data science constructs, models and its implementation.
Develops and applies customizations, improvements based on features data
applicability and availability, constraints and consistent fulfillment of business
objectives.
Creates new data science constructs, models, algorithms, technologies, and solutions
based on novel and unique ideas. Ensure that new ideas and methodologies are
documented for use by Data Science and product engineering teams
Uses status as a knowledge leader in data sciences and functional knowledge across
multiple related disciplines and program management to provide data science and
decision support systems leadership to a given program.
Defines requirements, data science constructs and may design complex new models
and decision support systems to aid in analysis and solving on complex business
problems.
Initiates cross-company collaboration and develops positive relationships with other
disciplines of engineering, system integration, professional services, solutions
architects etc.
Exercises judgement (with broadly defined policies and practices) in selecting
methods, techniques and evaluation criteria for obtaining results. Make effective
decisions for “Build VS Buy” by using industry standard auto ML models,
Commoditized Statistical and relevant ML models, AI models and algorithms for
optimized solution
Makes use of Rapid Development Tools (Business Intelligence Tools, Graphics
Libraries, Data modelling tools) to effectively communicate research findings using
visual graphics, Data Models, ML model features, Feature engineering /
transformations to relevant stakeholders
May coordinate the activities of other personnel. Mentor, guide, leads and develop
Data Scientists, Specialists within the team. Interacts with Cross-Functional teams to
identify questions and issues for data engineering, ML models feature engineering.
Network with key contacts outside own area of expertise, interacts with management
and senior customer personnel on matters requiring coordination across
organizational lines. Represent the organization as the principal customer contact
and often performs project leadership. Interprets and communicates foresights,
insights and findings from data science projects to product managers, service
managers, business partners and business managers.
Drive innovation by fostering open, high energy, collaborative environment; lead
participation in innovation summit and expos, recommend relevant training and
conference for employees to attend, publish papers and patent disclosures
Qualifications:
B.Tech/M.Tech/PhD in CS/ML/Statistics
Preferably 8+ years’ experience as Data Scientist OR in
related field (Statistics / Operation Research) OR as System
Architect / Enterprise Architect
Design and conduct Analysis/Experiments (Plan Analysis and
address competing explanations, Determine best way to evaluate
results, Explore structured and unstructured data appropriately,
Apply appropriate algorithms, Clearly document and articulate
findings),
Incorporate Analysis into pipelines and pipelines into
business/Engineering stack (Read/write data to/from any
format / location, incorporate complex matching and filtering,
Make work compatible with/suitable for engineering stack,
Discover needs of business, Navigate Business organization
structure, package technical work for diverse audiences),
Build the profession (Mentor/Coach Junior Data scientists,
enable/upskill citizen data scientists)
Problem Solving / Critical Thinking, Good business intuition,
Programming and Coding (Python / R), Mathematics and
Statistics (Equivalent to Graduate level Stat 101 and Math
101), Machine Learning / Deep Learning / AI, Communication
/ Appropriate articulation, Data Architecture, Risk Analysis /
Systems Engineering",
Data Scientist,"Jamshedpur, Jharkhand",Imurgence,None,Organic,"Educational qualifications
B Tech/ BE, M.Sc.(Maths) or M Tech/ MS or equivalent in Mechanical/Metallurgical/ Electrical/ Electronics/ Computer Science/Instrumentation/Industrial Engineering/Operations Research or in any other relevant discipline.

Relevant experience (Type/ Nature and years of relevant experience required to execute the role)
Min. 2-4 years of experience

Locations: Jamshedpur / Kalinga nagar / Kolkata/ Mumbai

E xperience related to advanced analytics
Machine learning, Deep learning, Fuzzy logic, data visualisation, statistics, Derived data analysis etc.
Programming and process trouble-shooting experience will be preferred.
Exposure to mathematical modelling will be preferred.
Understanding of statistics and statistical modelling will be required.
Good process knowledge related to supply chain, iron and steel manufacturing, marketing or mining/mineral processing is preferable.
Programming skills using a high level language (preferably in .net environment) will be necessary.
Knowledge on data acquisition, analytics, statistics and other mathematical modelling tools will be useful.
Sound concepts on Big data analytics will be helpful.

Technical Competencies
Statistics, Data analytics, Artificial intelligence, programming, system engineering and flow design, Logic building, Scenario analysis.
Coding in R/ Python language is Compulsory.

Behavioral Competencies
Learning inclination, Collaboration, Achievement orientation, change orientation",
DATA SCIENTIST /,"Tiruchchirappalli, Tamil Nadu",HelloLeads,None,Organic,"Exposure to ML concepts - Probabilistic Models, Supervised and Unsupervised Learning, Neural Networks & Deep learning, Ensembling. Understanding of concepts behind Machine Learning algorithms such as Probability, Statistics, Linear Algebra. Exposure to libraries such as theano, tensorflow, keras, torch, caffe etc.",
Data Scientist - Bangalore,"Bengaluru, Karnataka",Wabco,None,Organic,"What will you gain working at WABCO
Innovative products and technologies
Challenging and dynamic working environment
Globally minded and multicultural workplace
Variety of opportunities for personal professional growth
International prospects for individual career development
Team-Work world-wide Immerse yourself in a great working atmosphere in international teams
Responsibilities and Requirements of the role:
Primary Responsibilities
Accountable for building data products (either in the form of analytical data, simple applications or dashboards) which have the right amount of business and statistical robustness
Actively participate and assist product manager/product owners to define vision & roadmap
Actively participate and assist product development teams.
Develop proofs-of-concept to prove new techniques
Interact with data engineering to maintain and improve the data products relevance
Follow guidelines to ensure quality, security and legal compliance of the robust and high sustainable code
Skills & Experience
Quantitative Master's degree with strong statistical and computational background (Ph.D. desirable).
3+ years of real problems hands-on data science experience
Must have a passion for finding optimal customer-centric solutions.
Require an outstanding analytical mindset
Quick learner with an open mindset.
Excellent communication and relationship building skills.
Essential Knowledge
Proven expert on data science topics such as bagging, boosting, recommendation systems, forecasting, matrix decomposition, and clustering.
Excellent knowledge in statistics and design of experiments
Expert knowledge in python data science libraries such as sklearn, statsmodels, fbprophet, keras
Excellent knowledge in notebooks (databricks, jupyter, zeppelin...) and some scripting
Previous exposure with Big Data platforms such as Cloudera, GCP or Databricks
Highly proficient in Spark (either Pyspark or Scala)
Highly proficient in at least one data visualization tool such as Tableau, Spotfire, PowerBI
Expert knowledge with SQL Databases
Comfortable with conducting and accepting feedback from code reviews.
Desired Experience
Experience in dealing with Linux terminal
Experience with AWS Cloud
Previous experience working with GIT
Knowledge of object-oriented programming.
Knowledge of R
Knowledge of DeepLearning
Knowledge of NoSQL and/or graph databases.
Proficiency in at least one of the following programming languages Node.js, Javascript, C# or React (native)
Mastery of development methodologies & lean principles to create world-class software
Experience with REST APIs and Microservices.",
Data Science Engineer,"Bengaluru, Karnataka",Involvio,None,Organic,"We are looking for a Data Scientist that will help us discover the information hidden in vast amounts of data, and help us make smarter decisions to deliver even better products. Your primary focus will be in applying data mining techniques, doing statistical analysis, and building high quality prediction systems integrated with our products.

Responsibilities
Selecting features, building and optimizing classifiers using machine learning techniques
Data mining using state-of-the-art methods
Extending company's data with third party sources of information when needed
Enhancing data collection procedures to include information that is relevant for building analytic systems
Processing, cleansing, and verifying the integrity of data used for analysis
Doing ad-hoc analysis and presenting results in a clear manner
Creating automated anomaly detection systems and constant tracking of its performance
Skills and Qualifications
Excellent understanding of machine learning techniques and algorithms, such as k-NN, Naive Bayes, SVM, Decision Forests, etc.
Experience with common data science toolkits, such as R, Weka, NumPy, MatLab, etc. (excellence in at least one of these is highly desirable)
Great communication skills
Experience with data visualisation tools, such as D3.js, GGplot, etc.
Proficiency in using query languages such as SQL, Hive, Pig
Experience with NoSQL databases, such as MongoDB, Cassandra, HBase
Good applied statistics skills, such as distributions, statistical testing, regression, etc.
Good scripting and programming skills in Ruby and Python
Data-oriented personality",
Data Scientist,"Bengaluru, Karnataka",Magicbricks,None,Organic,"We are looking for a Data Scientist with experience of 3-6 years that will help us discover the information hidden in vast amounts of data, and help us make smarter decisions to deliver even better products. Your primary focus will be in building data science solutions using machine learning algorithms, doing statistical analysis, and building high quality prediction systems integrated with our products.

Responsibilities:
Identifying the key problem in the system and proposing a solution
Selecting features, building and optimizing classifiers using machine learning techniques
Data mining using state-of-the-art methods
Identify third party data that can be used to enhance the information gained
Processing, cleansing, and verifying the integrity of data used for analysis
Building unsupervised and supervised learning algorithms on existing data such that systems should be proactive in nature


Skills and Qualifications
3-6 years of experience with post graduate/Phd degree in mathematics, statistics, IT or Computer science from IIT/IIIT/NIT/recognized universities
Excellent understanding of machine learning techniques and algorithms, such as Random Forest, Regression, XG Boost, k-NN, Naive Bayes, SVM, Decision Forests, etc.
Experience with common data science toolkits, such as R, Python, Octave, Java. Excellence in at least one of these is a must.
Great communication skills
Proficiency in SQL is must.
Experience with NoSQL databases, such as MongoDB, Cassandra, HBase will be good to have.
Good applied statistics skills, such as distributions, statistical testing, regression, etc.
Data-oriented personality
To apply on this job, email your resume at alka.dhingra@magicbricks.com",
Data Scientist,India,Emerging India Group,None,Organic,"We are looking for a data scientist with an experience of 3+ years in deriving insights using analytical models handling vast amounts of data available across multiple platforms. Your primary focus will be in applying data mining techniques, doing statistical analysis, and building high quality prediction systems integrated with our products. Experience in social media analytics is a must.
RESPONSIBILITIES
Data mining using state-of-the-art methods
Enhancing data collection procedures to include information that is relevant for building analytic systems
Processing, cleansing, and verifying the integrity of data used for analysis
Selecting features, building and optimizing models using machine learning techniques
Doing ad-hoc analysis and presenting results in a clear manner
Creating proposals and presentations
SKILLS
Excellent understanding of machine learning techniques and algorithms, such as k-NN, Naive Bayes, SVM, Decision Forests etc.
Experience in Predictive modelling, ensemble modelling, sentiment analysis, NLP, Time-Series Analysis, Deep Learning, Reinforcement learning, Recommender Systems
Experience with common data science toolkits, such as R, Python etc.
Experience with data visualisation tools, such as Tableau, Power BI, Qlikview etc.
Proficiency in using query languages such as SQL and HQL
Experience with NoSQL databases, such as MongoDB, Cassandra, HBase
Good applied statistics skills, such as distributions, statistical testing, regression, etc.
Good scripting and programming skills
Great communication skills

Benefits and Perks
Working with smart, young, mission-driven people
Approachable management team
Mobile allowance
Travel allowance
Regular team outings
Flexible Schedules",
Data Scientist,"Bengaluru, Karnataka",IQLECT,None,Organic,"Requirements
Should have good knowledge of statistics and machine learning techniques
Should able able to soft through data and extract the underlying patterns and insights which could be applied to solve the problem or add value
Should have good problem solving skills
Should have working knowledge or experience with tools such as R, Matlab etc
Should be able to convert high level goals into set of use cases or KPIs to be added to the solution to solve customer problem
Should be able to prepare datasets, tune params, select set of attributes etc to ensure the model trained solves the problem in efficient manner


Responsibilities
Selecting features, building and optimizing classifiers using machine learning techniques.
Data mining using state-of-the-art methods.
Extending company’s data with third party sources of information when needed.
Enhancing data collection procedures to include information that is relevant for building analytic systems.
Processing, cleansing, and verifying the integrity of data used for analysis.
Doing ad-hoc analysis and presenting results in a clear manner.
Creating automated anomaly detection systems and constant tracking of its performance


Skills and Qualifications
Excellent understanding of machine learning techniques and algorithms, such as Classification, regression, RF, CRF, SVM, Clustering, CNN, Neural network etc...
Experience with common data science toolkits, such as R, Matlab, Python related etc.
Experience with data visualisation tools, such as D3.js, GGplot, etc. to present the observation or solution in simple and consummabale manner on dashboard
Proficiency in using query languages such as R, SQL etc. Experience in Python is plus
Experience with various sdks like mitie, dib, stanford NLP, etc are preferred
Good applied statistics skills, such as distributions, statistical testing, regression, etc.
Understand the high level problem and provide set of solutions to solve it using machine learning or otherwise
We’re looking for someone with 5-8 years of experience manipulating data sets and building statistical models, has a Master’s or PHD in Statistics, Mathematics, Computer Science or another quantitative field",
Data Scientist,"Chennai, Tamil Nadu",Menorah Personnel Management India Private,None,Organic,Hand-on R programming skills.Hand-on R programming skills.Should be comfortable with implementing advanced Machine Learning (ML) methods.,
DATA SCIENTIST,"Mumbai, Maharashtra",Weatherford,None,Organic,"Utilize data from databases, historians, and/or data lakes.Experience with building and deploying data pipelines.Experience working in Linux is an advantage.",
Data Scientist,"Mumbai, Maharashtra",XPO Logistics,None,Organic,"The selected candidate will possess a combination of data science skills including data wrangling, advanced programming and statistical analysis (machine…",
Data Scientist,"Bengaluru, Karnataka",Big Data BizViz (BizViz Technologies Pvt. Ltd),None,Organic,"Eligible Candidates can apply at careers@bdb.ai

BizViz provides a 360 degree view of a business's data, serving any vertical and meeting the demanding needs of all business executives. With a 50+ strong team building the BizViz platform over several years, it is targeted at creating technological solutions that will give our customers the edge they need to succeed.
We strongly believe that our success lies in the success of our customers. We aim to build applications the way they envisioned, keeping each business' unique ideas and requirements in mind. We offer businesses a better alternative to using standard cookie-cutter ERP templates.
Job Summary
Design and execute statistical analysis, modeling, and simulation efforts for clients that lead to actionable decisions affecting operations. Analyze data sets to summarize, identify trends, predict future states, and characterize uncertainty. Author complex written products documenting study results. Apply analytical approaches using statistical programming languages, including Python, SAS, and R. Work closely with teammates from non-mathematical disciplines to ensure that operational strategies are considered in the context of applying statistical theory. Use statistical theory on modeling, simulation, and data analysis to deliver measurable improvements to organizational policies and programs.
Responsibilities
Engage in data mining, algorithm development, statistical analysis, regression, and machine-learning initiatives
As part of ongoing work and interaction with the broader team, identify new opportunities to use modeling and advanced analytics to drive business value
High Proficiency in SQL
Expertise in applied statistics.
Able to translate business objectives into actionable analyses.
Able to communicate findings clearly to both technical and non-technical audiences
Expertise in at least one statistical software package such as SAS or Python and R
Experience with machine learning algorithms and predictive analytics
Natural curiosity to enjoy diving deep into the material to find answers to yet unknown questions.
Demonstrated ability to perform comfortably in a fast-paced work environment
Education, Experience, Skills and Abilities Required for Consideration as a Candidate:
PhD or MSC in a quantitative discipline: Statistics, Applied Mathematics, Operations Research, etc.
3+ years of experience in using statistical and data mining techniques to solve real business problems
Minimum of 3 years of experience in any one of the following:
Machine Learning
Data Mining
Predictive analysis
R & Python or SAS.
Passion for problem-solving, developing creative solutions, and continuous learning.
Experience in at least one of the following domain - Retail, Healthcare & Education.",
Data Scientist,"Pune, Maharashtra",torcai digital media,None,Organic,"Roles and Responsibilities
Understand clients business objectives and strategy to ensure that analysis work is focused on the areas where most value can be added.
Collaborate with stakeholders/ team leaders in order to understand problem statements and design and execute potential solutions.
Mentor team members and ensure fault-free execution of projects / solutions.
Integration of multiple sources of data working on BigData platforms.
Perform Exploratory Data Analysis on large and complex data sets comprising of structured, semi-structured and unstructured data.
Work on multiple unstructured problems to deliver insights/ end-to- end solutions and improve our clients- understanding of their customers using analysis / statistics / machine learning algorithms.
Keep abreast of the latest developments in the data science space across industries for potential uses.
Please mail your CV to career@torcai.com",
Data Scientist,Karnataka,Tenzai,None,Organic,"Responsibilities
Ability to translate business problems into analytical structures and can be solved using statistical/ML techniques.
3+ years of applied work experience with analytics & machine learning on large datasets.
Experience with statistical software (e.g., R, Python, MATLAB, pandas) and database languages (e.g., SQL).
Good exposure to exploratory analysis and knack of deriving business insights & value. Comfortable with exploring large data sets.
Develops recommendation from complex data and business analyses and formulates them into business plan.
Has strong consultative skills in addition to quantitative (and statistical) ability to harness customer data in order to address business problems that materially impact business.
Work under minimal supervision and display strong independent behaviour while leading the team in developing structured analysis.
Must Have Skills
Build statistical models/ ML models, train and test them to and drive towards the optimal level of model performance.
Quickly prototype solutions and build models to test feasibility of solution approach.
Work across the spectrum of reporting and data visualization, statistical modelling and supervised learning tools and techniques and apply the right level of solution to the right problem.
Exposure to Big Data platforms like Hadoop and its eco-system (Hive, Pig, Sqoop, Mahout) is a plus.
Passion to learn new tools, languages and framework.",
Data Scientist,"Hyderabad, Telangana",ZettaMine,None,Organic,"This position requires a person to design, implement and processes large data sets used for modeling, data mining.
Responsibilities :
Develop and plan required analytic projects in response to business needs.
In conjunction with data owners and department managers, contribute to the development of data models and protocols for mining production databases.
Develop new analytical methods and/or tools as required.
Contribute to data mining architectures, modeling standards, reporting, and data analysis methodologies.
Conduct research and make recommendations on data mining products, services, protocols, and standards in support of procurement and development efforts.
Work with application developers to extract data relevant for analysis.
Collaborate with unit managers, end users, development staff, and other stakeholders to integrate data mining results with existing systems.
Provide and apply quality assurance best practices for data mining/analysis services.
Adhere to change control and testing processes for modifications to analytical models.
Create data definitions for new database file/table development and/or changes to existing ones as needed for analysis.
Determine required network components to ensure data access, as well as data consistency and integrity.
Respond to and resolve data mining performance issues. Monitor data mining system performance and implement efficiency improvements.
Manage and/or provide guidance to junior members of the team.


Send us the Resume at info@zettamine.com",
Data Scientist,"Pune, Maharashtra",Evolent Health,None,Organic,"Job title

Data Scientist

Department

Analytics

Report To
NA

Work Location

Pune

It’s Time For A Change…
Your Future Evolves Here
Evolent Health has a bold mission to change the health of the nation by changing the way health care is delivered. Our pursuit of this mission is the driving force that brings us to work each day. We believe in embracing new ideas, challenging ourselves and failing forward. We respect and celebrate individual talents and team wins. We have fun while working hard and Evolenteers often make a difference in everything from scrubs to jeans.
Are we growing? Absolutelyabout 40% in year-over-year revenue growth in 2018. Are we recognized? Definitely. We have been named one of “Becker’s 150 Great Places to Work in Healthcare” in 2016, 2017, 2018 and 2019, and One of the “50 Great Places to Work” in 2017 by Washingtonian. If you’re looking for a place where your work can be personally and professionally rewarding, don’t just join a company with a mission. Join a mission with a company behind it.

Who You’ll Be Working With:
You’ll join a team of data scientists, analysts, and software engineers working to push the boundaries of data science in health care. We like to experiment, iterate, and innovate with technology, from developing new algorithms specific to health care’s challenges, to bringing the latest machine learning practices and applications developed in other industries into the health care world. We know that algorithms are only valuable when powered by the right data, so we focus on fully understanding the problems we need to solve, and truly understanding the data behind them before launching into solutions – ensuring that the solutions we do land on are impactful and powerful.
What You’ll Be Doing:
Research, conceptualize, and implement analytical approaches and predictive modeling to evaluate scenarios, predict utilization and clinical outcomes, and recommend actions to impact results.
Manage and execute on the entire model development process, including scope definition, hypothesis formation, data cleaning and preparation, feature selection, model implementation, validation and iteration, using multiple data sources.
Provide guidance on necessary data and software infrastructure capabilities to deliver a scalable solution across partners and support the implementation of the team’s algorithms and models into Evolent’s product offerings.
Contribute to the development and publication of white papers showcasing Evolent’s leadership in healthcare data science.
Collaborate with stakeholders from clinical, operations, and product teams to identify advanced analytics opportunities to add value to Evolent’s solution offerings.
Leverage clinical and administrative data to support other business needs related to clinical program improvement, networks optimization, and other strategic initiatives.
The Experience You’ll Need (Required):
Master’s Degree with a quantitative focus (e.g. data science program, software engineering, statistics, mathematics, computer science, health services research).
3-6 years of professional experience in an analytical field related to health service analytics, predictive modeling in health care, or other health care-related experience.
Strong technical abilities with advanced data and analytics tools and programming languages, including Python or R, and at least one database language such as SQL or Mongodb.
Foundational understanding of core concepts in applying machine learning algorithms: data cleaning, feature selection, and parameter tuning.
Strong communication skills, including both communicating with other stakeholders to fully evaluate project requirements and context, as well as communicating project results, findings, and applicability.
Ability to work independently with little technical guidance day-to-day, in a fast-paced environment.
Finishing Touches (Preferred):
Experience in SAS, SAS/CONNECT, and disparate programming language integration techniques
Proficiency in most areas of mathematical analysis methods, statistical analyses, predictive modeling, and/or machine learning (such as neural networks, random forests, gradient boosting, etc), and in-depth specialization in some areas.
Working knowledge of analyzing administrative medical claims, pharmacy claims, and/or EMR data and clinical data.
Proficiency with git or other version-control software, especially in collaboration with others.
Proficiency working at the command line / shell.
Experience in reporting and visualization tools such as R’sggplot, Python’s bokeh, Tableau, MSTR, or geo-mapping tools.
Experience building and/or using APIs.

Work Environment: The work environment characteristics described here are representative of those an employee encounters while performing the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions. This position primarily works in a climate controlled based setting.The noise level and the work environment are moderately quiet. This role routinely uses standard office equipment such as computers, phones, photocopiers, filing cabinets and fax machines
Physical demand: Include the physical demands of the job, including bending, sitting, lifting and driving. For example, while performing the duties of this job, the employee is regularly required to talk or hear. The employee frequently is required to stand; walk; use hands to finger, handle or feel; and reach with hands and arms.
Why Join Evolent?Evolent Health developed an integrated value-based care platform for payers and providers. The company created an internal recognition program that encourages departments to acknowledge outstanding achievement as well as focusing on philanthropic values. The company spent four weeks in 2018 giving back to more than 60 local charities and engaged 3,700-plus employees to participate. Evolent provides healthy snacks and drinks in most of its offices as well as an in-office gym at its headquarters and workstations that include treadmill desks. In 2016, the company launched its diversity and inclusion committee that promotes unconscious bias training and established several business resource groups. In 2017, Washingtonian Magazine named Evolent among the 50 Great Places to Work.",
