,Title,Location,Company,Salary,Description
293,App Developer,Rajkot Saurastra,GOAL ENTREPRENEUR,216000-300000,knowledge android lanugage android studio relevant post full time 18  00  00 per android 1 year preferred 1 year preferred total 1 year preferred education secondary 10th pas preferred programming language needed java preferred remotely yes
294,App Developer,Ranchi,MILDTRIX BUSINESS SOLUTIONS PVT LTD,200000-600000,full time mobile app developer 2 year flutter node j angular react per best city type full time walk  00  00 per year net 1 year preferred software 1 year preferred total 1 year preferred java 1 year preferred education secondary 10th pas preferred
295,App Developer,Salt Lake City,Pivot Net Technologies Pvt. Ltd.,300000-360000,2- 5 yr 5 yr   profile native java android developer role native android developer java technical skill required java android key java ctc 3 lpa 3 6 lpa basic incentive variable basic structure shall vary depending upon interview year incentive structure shall ratio 10 1 w r valuation boarded project full time  00  00 per android 2 year preferred 5 year preferred total 2 year preferred education secondary 10th pas preferred programming language needed java preferred remotely temporarily 
296,App Developer,Surat,Bitrix Infotech Pvt Ltd,120000-240000, responsible designing building io application cross functioning analyse design build feature performance quality responsiveness help maintain code quality automation continuously discover evaluate implement technology maximise efficiency  duty focus code optimisation code quality maintainability etc build advanced application io platform continuously discover evaluate implement technology maximize efficiency identify correct bottleneck fix bug required qualification 6 month design coding io programming understanding apple design principle interface guideline deep familiarity objective c swift programming language deep understanding io platform able pixel perfect ui screen phone ipad bug fix improved functionality io app third party library apis working knowledge general mobile landscape architecture trend emerging technology solid understanding full mobile life cycle full time 10  00  00 per io 1 year preferred surat gujarat preferred industry software remotely temporarily 
297,App Developer,Surat,Canopas,108000-240000,canopas software enthusiastic energetic young minded mobile application developer experienced fresher take pride canopas software lot field working friendly given based preference every developer joined worked 3 year show easy expect initial increment 10 month guy strong bias making thing happen always wear smile face proactive attitude like meet leader help thing resolve doubt interested creating user friendly writing code moving forward expect tech savvy curious technology aspires combine usability visual design  duty participate entire application lifecycle focusing coding debugging design build advanced application android platform collaborate cross functional team define design ship feature outside source apis bug fixing improving app performance continuously discover evaluate implement technology maximize efficiency manage cutting edge technology legacy application key java kotlin android android sdk android studio git mysql xml required qualification education b e b tech e tech bca mca msc degree computer science engineering related subject 0 1 year love relaxed friendly positive dynamic young life balance genuine life balance served canopas earned rest get 11 public holiday 12 paid leaf total holiday stipend training get stipend initial three month training flexible working hour reaching late office never issue exceptional support network get support colleague leader achieve goal full time 9  00  00 per surat gujarat preferred remotely
298,App Developer,Surat,InfyOm Technologies,96000-144000,ready hire train fresh talent various  available php laravel iso reactjs vuejs etc detail type full time fresher 8  00 12  00 per total 1 year preferred io 1 year preferred education bachelor preferred programming language needed html preferred c preferred objective c preferred php preferred visual basic preferred swift preferred remotely yes
301,App Developer,Surat,vbinfotech,120000-600000, experienced android developer handled live project  duty working web service xml json android sdk sqlite eclipse android studio layout design build advanced mobile application using android platform strong android java android native knowledge different version android strong knowledge android ui design principle pattern best practice offline storage threading performance tuning strong skill problem solving attitude android native added full time 10  00  00 android 1 year preferred education bachelor preferred surat gujarat preferred industry software remotely yes
302,App Developer,Surat,Vetron IT Services,180000-660000,solution firm search io developer growing surat india desired must 1 4 year io platform  duty proficient objective c swift cocoa touch io framework core core animation etc offline storage threading performance tuning familiarity restful apis connect io application back service knowledge web technology ui ux understanding apple design principle interface guideline knowledge low c based library preferred familiarity cloud message apis push notification knack benchmarking optimization proficient understanding code versioning tool git svn familiarity integration full time 15  00  00 per io 1 year preferred remotely
305,App Developer,Thiruvananthapuram, Infinity Business Solutions Pvt. Ltd.,240000-360000,android developer responsible maintenance application aimed vast number diverse android device primary focus android application integration back service working along side engineer developer working different layer infrastructure therefore commitment collaborative problem solving sophisticated design creating quality product essential  translate design wireframes high quality code design build maintain high performance reusable reliable java code best possible performance quality responsiveness application identify correct bottleneck fix bug help maintain code quality organization automatization strong knowledge android sdk different version android deal different screen size familiarity restful apis connect android application back service strong knowledge android ui design principle pattern best practice offline storage threading performance tuning design application around natural user interface touch familiarity use additional sensor gyroscope accelerometer knowledge open source android ecosystem library available common task business requirement translate technical requirement familiarity cloud message apis push notification knack benchmarking optimization understanding google android design principle interface guideline proficient understanding code versioning tool git familiarity integration type full time part time  00  00 total 2 year preferred remotely yes
313,App Developer,Thiruvananthapuram,REIZEND IT CONSULTANTS,360000-480000,android developer posted 06 closing 07 email career reizend role  brief   ui designer product manager execute project per requirement gather requirement around functionality translate requirement elegant functional solution developer required xml design develop test document deploy support mobile apps independently environment must keep pace latest technology trend knowledge integrating payment gateway third party sdk must take ownership accountability project deliver timeline required preferred 2 year android developer java equal knowledge back knowledge web technology like api xml rest json working third party library code version control tool strong hand android sdks offline caching threading sqlite performance tuning proficient google developer console creating usage google apis application key etc targeting multiple android device phone tablet multiple manufacturer across o version building usable asset used mobile application education b tech     walk date time walk venue
324,App Developer,Urban Estate Gurgaon,TukTuk Eservices Pvt Ltd,120000-600000,android developer type full time part time 10  00  00 android 1 year preferred 1 year preferred total 1 year preferred education secondary 10th pas preferred programming language needed java preferred benefit home flexible hour phone internet reimbursement shift allowance industry software remotely temporarily 
326,App Developer,Vadodara,MeandCloud,240000-360000, android developer posse pushing mobile technology limit android app developer talented developer design build generation mobile application android programmer app technical team  duty design build advanced application android platform collaborate cross functional team define design ship feature outside source apis unit test code robustness including edge case usability general reliability bug fixing improving application performance continuously discover evaluate implement technology maximize efficiency key java android json html api required qualification proven software android proven working android app published least one original android app android sdk working remote via rest json third party library apis working knowledge general mobile landscape architecture trend emerging technology solid understanding full mobile life cycle per android 1 year preferred 1 year preferred total 1 year preferred java 1 year preferred education bachelor preferred industry software remotely temporarily 
328,App Developer,Bengaluru,PurpleFront Technologies Pvt Ltd,500000-800000,purplefront hire energetic go getter flutter hybrid mobile app developer translating ui ux design code deployed across multiple platform working world class project expand horizon take problem solving mindset ready dive code come solution skill english must qualification desire startup able self manage remotely must built least two android io apps flutter proven working software working mobile published one mobile apps google play app store third party library apis working knowledge general mobile landscape architecture trend emerging technology solid understanding full mobile life cycle including automated testing building working agile process proficient using version control integration tool git jenkins write clear maintainable testable code proud type full time 000 00 000 00 per year flutter 1 year required software 1 year required 1 year required total 1 year required education bachelor required remotely yes
330,App Developer,Mumbai,stalliontechmark,240000-480000,flutter developer 1 2 year however fresher knowledge technical welcomed full time 000 00 000 00 type full time temporary fresher 000 00 000 00 software 1 year preferred 1 year preferred total 1 year preferred java 1 year preferred education bachelor preferred remotely yes
331,App Developer,New Delhi,Inherent Technologies,180000-420000,  mobile software engineer flutter firebase mobile application engineer ether building delightful transformative experience bring disruptive persistent conversation experience enterprise basic qualification four year bachelor degree computer science engineering top engineering school 0 2 year building fast delightful mobile application building mobile application firebase keen interest technology applied meaningfully impact people life habit reading absorbing industry literature best practice extremely conversant table stake software engineering toolchain linux shell ide git debugger profilers solid foundation computer system internet protocol multi threading memory management applying right algorithm problem believe self portrait take lot pride produce full time pay 15 000 00 000 00 per software 1 year preferred 1 year preferred total 1 year preferred education bachelor preferred
335,App Developer,Surat,EmployeeLink ( Client - IT Industry),216000-360000, opening flutter developer type full time fresher 18 000 00 000 00 software 1 year preferred total 1 year preferred education bachelor preferred selection round hr interview technical interview housing rent subsidy industry operation helpdesk remotely
337,App Developer,Pune,Prosols Technology,180000-360000,  cross platform mobile app developer developed mobile apps familiarity flutter participation process analysis designing implementation testing apps mobile app design optimization able provide solution mobile app quality emerging technology best practice bring mobile app product continuously discover evaluate implement technology framework maximize efficiency estimate timeline deliver per schedule solid knowledge mobile app practice along mobile testing tool technique optimizing app performance requirement worked successfully deployed apps using flutter framework third party library apis api integration strong knowledge flutter deal different screen size addon knowledge android sdk different version android familiarity rest api sound knowledge javascript strong knowledge ui design principle pattern best practice understanding google android design principle interface guideline proficient understanding code versioning tool gitlab experienced flutter app 1 2 year track record building mobile application build application scratch eye design full time 000 00 000 00 per year flutter 1 year required education bachelor required pune maharashtra required remotely temporarily 
338,App Developer,Bengaluru,Pentoz Technology,120000-600000,mobile app developer 1 year mobile application flutter react native mobile app developer multi platform apps io android using google flutter framework flutter widget io android third party library apis mobile platform like android io developing using flutter sdk dart programming language required qualification bachelor degree computer science electrical electronic engineering information technology another related field equivalent must nb native developer enough apply full time 10 000 00 000 00 per flutter 1 year required industry software remotely temporarily 
339,App Developer,Mumbai,Kraken Global,240000-600000,exciting kraken developing application real world problem candidate must least one year using flutter dart technology type full time part time 000 00 000 00 1 year preferred total 1 year required education bachelor preferred
340,App Developer,Mumbai,BeeDev Solutions,240000-420000,seeking android flutter developer interested building performant mobile apps io android platform responsible architecting building application coordinating team responsible layer product infrastructure building product collaborative effort strong player commitment perfection required  duty translate design wireframes high quality code design build maintain high performance reusable reliable java code best possible performance quality responsiveness application identify correct bottleneck fix bug help maintain code quality organization automatization full time 000 00 000 00 per 1 year preferred total 1 year preferred education bachelor preferred remotely yes
341,App Developer,Noida,FoundLay Technologies Pvt. Ltd.,8000-12000,immediate joining 6 month hand mobile app  mobile developer mobile app  duty mobile application android react native preferable required qualification strong fundamental concept java oops knowledge android app life cycle strong knowledge android sdk different version android strong knowledge android ui design principle pattern best practice xml android layout understanding google android design principle interface guideline understanding mvvm pattern live binding detailed understanding activity fragment life cycle back offline storage async task background service local notification knowledge open source android ecosystem library available common task okhttp retrofit rxandroid butter knife app compact android x library json xml structure rest api handling familiarity restful apis connect android application back service familiarity fire cloud message apis push notification proficient understanding code versioning tool git strong debugging android studio debugger stack trace analysis knowledge html cs jscript bootstrap response web design knowledge hybrid app using ionic cordova another platform plus educational qualification b e b tech mca tech type full time internship fresher 8 000 00 12 000 00 year remotely yes
343,App Developer,Ahmedabad,Yugtia Technologies Pvt. Ltd.,264000-384000,software engineer android year fresher mini 3 year educational qualification mca brief  profile working remote via rest json third party library apis working knowledge general mobile landscape architecture trend emerging technology solid understanding full mobile life cycle keywords android studio kotlin java design pattern mvc creational behaviour structural pattern latest android o framework integration design build advanced application android platform collaborate cross functional team define design ship feature outside source apis unit test code robustness including edge case usability general reliability bug fixing improving application performance continuously discover evaluate implement technology maximize efficiency full time 000 00 000 00 remotely
344,App Developer,Bengaluru,HOKO,400000-500000,role  design build advanced application android platform collaborate cross functional team define design ship feature outside source apis ui ux bug fixing improving application performance continuously discover evaluate implement technology maximize efficiency skill requirement btech mtech degree computer science engineering related subject proven software android proven working android app published least one original android app android sdk working remote via rest json third party library apis working knowledge general mobile landscape architecture trend emerging technology solid understanding full mobile life cycle strong knowledge android ui design principle pattern best practice familiarity cloud message apis push notification type full time 000 00 000 00 per year third party library apis 2 year preferred remote via rest json 2 year preferred android sdk 3 year required remotely temporarily 
350,App Developer,Surat,Beetonz Infotech,180000-216000,designing developing advanced application android platform unit testing code robustness including edge case usability general reliability bug fixing improving application performance android sdk bug fixing improving application performance full time 15 000 00 18 000 00 1 year preferred total 1 year preferred education secondary 10th pas preferred
351,App Developer,Mohali,AppCrunk Technologies Pvt. Ltd.,180000-360000,required 1 year 2 year max candidate must based mohali chandigarh region required swift mvc mvvm firebase mysql must published app app store working framework like core core animation core graphic core text flutter react native benefit interview conducted house thank full time 15 000 00 000 00 per io 1 year required programming language needed swift required
354,App Developer,Navi Mumbai,Actofit Wearables Pvt Ltd,250000-540000, requirement energized motivated proficient candidate android developer qualification graduate post graduate segment required proficient android native java visit website actofit interested visit website oxstren wearable technology pvt ltd actofit one stop wearable tech start make brand fitness tracker software solution space fitness sport creating range using patent able technology 2 year old start launched product november line launch year customer country address 10th floor mayuresh cosmos plot sector 11 belapur navi mumbai maharashtra  6 month android using native java android studio developing android application design build advanced application actofit wearable device android creating interactive user interface help house design integration domain related 3rd party api bug fixing improving application performance desired competency proficient native android android studio common android framework offline storage threading local db performance tuning familiarity apis connect android application back service knowledge web technology ui ux understanding android design principle interface guideline knowledge low c based library preferred familiarity push notification knack bench marking optimization proficient understanding code versioning tool familiarity integration package per annum 6 month type full time walk pay 000 00 000 00 per year android 1 year preferred 1 year preferred total 1 year preferred education secondary 10th pas preferred industry software remotely temporarily 
368,Cloud and DevOps Engineer,India,Job Mirror Consultancy,300000-800000,  administers current future cloud based application including software saas solution provides assistance operation maintenance system hardware software related infrastructure enthusiasm technology desire develop cloud system platform application principal  1 install configure integrate manage cloud infrastructure including limited following environment microsoft office aws azure 2 troubleshoot resolve technical issue autonomously help technical support offered cloud vendor member necessary 3 perform daily operational procedure backup patch update security monitoring log review system health review 4 install manage maintain upgrade system application required enhanced functionality operation security 5 maintain user account security enterprise cloud premise system 6 resolve order ticket escalated helpdesk close ticket time 7 user needed communicate effectively provide user 8 perform related duty assigned system administrator needed qualification requirement principal background requirement 1 associate bachelor science degree required 2 2 5 year system 3 must knowledge following microsoft office email system b microsoft office productivity suite word excel powerpoint outlook c vmware backup solution e internet technology dns dhcp ssl encryption 4 must quick learner willing adapt change technology field 5 must analytical 6 may requested weekend holiday needed gurgoan 2 10 year range 3 8 lakh one leading based gurgoan
374,Cloud and DevOps Engineer,Chennai,Arya Consultant,1200000-1440000,convert user story identified technical process operational area automation use case experienced agile working methodology like scrum kanban sdlc experienced ansible shell scripting powershell powercli related complimentary devops tool develop deploy automation code develop deploy automation solution line dxc approved coding standard platform monitoring om tool sm9 server automation etc experienced management code version control using git bit bucket solution artefact using artifactory write code integrate system build configuration innovation across platform integrate system using wide variety protocol like rest soap mq tcp ip json others design build automated code deployment system simplify make operational task consistent predictable orchestrating deployment o way application layer solution engineering team dxc capability team testing deploying automation solution via route live process experienced developing automation solution virtualization technology platform rhel sle window vmware esxi database exhibit deep understanding server virtualization networking storage ensuring solution scale performs high availability uptime customer focused interactive requiring knowledge product service delivered reflecting strength whole delivery 3 5 year core infrastructure space apps total 12 16 year full time 000 00 000 00 per ansible shell scripting powershell powercli 3 year preferred automation engineering 5 year required education bachelor preferred chennai tamil nadu preferred industry operation helpdesk remotely temporarily 
392,Cloud and DevOps Engineer,Bengaluru,Hi Tides Consulting,600000-1000000,â cloud system administrator  includes â configure fine tune cloud infrastructure system â install configure virtual cloud instance â support cloud server including security configuration patching troubleshooting â establish virtual private network vpns customer environment â develop script automating server function â monitor automated system recovery solution â sql server nosql db configuration maintenance administration â network admin configuration â 4 year linux window server administration â proficient m server rhel cisco io oracle mysql â supporting application database server â strong apache ii â strong encryption software â aws 4 00 7 00 year bachelor technology b tech b e
396,Cloud and DevOps Engineer,Bengaluru,Multi Recruit,1800000-2000000,requirement brief maintain optimal pipeline architecture assemble large complex set meet functional non functional business requirement author service using variety programming language identify design implement internal process improvement automating manual process optimizing delivery designing infrastructure greater scalability etc build infrastructure required optimal extraction transformation loading wide variety source using sql azure big technology build analytics tool utilize pipeline provide actionable insight customer acquisition operational efficiency key business performance metric stakeholder including executive product design team assist related technical issue support infrastructure need keep separated secure across national boundary multiple center azure region tool analytics scientist member assist building optimizing product industry leader analytics expert strive greater functionality system agile scrum team quality help achieving governance basic qualification 3 year engineer undergraduate degree required graduate degree preferred computer science statistic informatics information system another quantitative field using following software tool building platform move structured unstructured multiple prem source system azure warehouse using pyspark python sql enable analytics bi capability automated big pipeline azure factory extract transform load hbase warehouse utilize advanced capability azure databricks pre process meaningful format transformation write sql query involving multiple join advanced analytical function perform extraction merging large volume historical deploy manage code using ibm urbancode git version control system monitor quality manage fix enhancement required quality integrity information provided understanding elt etl pattern use understanding model transforming model strong analytic related working unstructured datasets build process supporting transformation structure metadata dependency workload management working knowledge message queuing stream processing scalable big store supporting working cross functional team dynamic preferred attribute around processing enable insight organization tech savvy engineer growing analytics expert responsible expanding optimizing pipeline architecture optimizing flow collection cross functional team enjoys optimizing system building ground engineer support software developer database architect analyst scientist initiative optimal delivery architecture consistent throughout ongoing project must self directed comfortable supporting need multiple team system product right excited prospect optimizing even designing architecture support generation product initiative type full time volunteer 1 000 00 2 000 000 00 year 6 year required total 10 year required education bachelor required
401,Cloud and DevOps Engineer,Bengaluru,Searches & Sourcing Consultant,120000,fresher c engineer bangalore one cloud solution engineer  design code right solution starting broadly defined problem best practice engineering excellence member develop architecture design current system agile deliver high quality software qualification candidate must bachelor master computer science engineering related field problem solving posse extremely sound understanding area basic area computer science algorithm structure object oriented design database able write quality code object oriented language preferably c c java linux must written oral fast learner adapt fast paced 6 position connect know type full time fresher 10 000 00 remotely temporarily 
415,Cloud and DevOps Engineer,Chennai,Golden Hippo Technology Pvt Ltd,240000-360000,aws cloud engineer 3 5 year required linux dns cloud flare aws ec2 route53 elb cloud watch log monitoring gray log prtg repo git lab cicd deployment tool jenkins pipeline willing rotational shift chennai madurai full time 000 00 000 00 per aws ec2 route53 elb cloudwatch iam 3 year preferred linux dns cloudflare 3 year required log monitoring graylog prtg 3 year preferred deployment tool jenkins pipeline 3 year preferred repo gitlab cicd 3 year preferred education bachelor preferred chennai tamil nadu preferred benefit provident fund pf remotely
417,Cloud and DevOps Engineer,Delhi,Aayam Consultants,500000-800000,postsales engineer â â cloud azureâ office integrated tech9labs pvt ltd â tech9labs okhla exp 3 7 year budget ctc 5l â 10 l fixed variable qualification b e b tech graduate certification key  responsible supporting deployment azure cloud related solution handling  deployment infra solution suggested presales implement solution boq scope support cloud azure office virtualization etc technology product continually researching current emerging technology proposing change needed build relationship oem technical support assistance required knowledgeâ deep understanding cloud infrastructure azure office deep product knowledge azure office 365â etc knowledge cloud technology azure certification added added knowledge mail cloud native cloud technology azure office passionate learning latest technology product focus dc related certification server storage build relationship oem technical support assistance literate proficient use computer software including microsoft outlook excel power point self motivated able calm logical manner always â skill mandatory person groom pre sale solution architect kindly check suit u revert back ur c v ur detail like 1 ctc fixed variable 2 expectation 3 notice period regard rajesh kumar aayam consultant cell rajesh aayam gmail 3 00 7 00 year
421,Cloud and DevOps Engineer,Hyderabad,Achala IT Solutions,800000-1500000,achala solution pvt ltd founded achala fast growing technology driven providing various service field information technology providing high quality service various customer across globe bi analytics alpha lab achala talented working customer providing quality software service field information technology achala trusted several fortune company employee globally hq india office usa germany uk requirement azure net cloud engineer 3 6 yr hyderabad technical skill net framework azure cloud operation knowledge microservices extensive troubleshooting extensive knowledge production system devops concept knowhow ci cd toolset itil knowledge
424,Cloud and DevOps Engineer,Hyderabad,Intellifour Software Pvt. Ltd,2300000, immediate cloud engineer hyderabad cloud engineer 8 15 year hyderabad required 8 15 year 4 year aws hand ci cd python docker iaa paas cloud troubleshooting hand aws security cloud custodian aws shield aws trusted advisor macie iam aws waf cloudtrails monitoring tool liks nagios interested referral kindly drop mail along updated profile clearly mention role  mail along detail current ctc expected ctc np full time 0 00 2 000 00 year total 8 year preferred education bachelor preferred hyderabad telangana preferred
427,Cloud and DevOps Engineer,Hyderabad,SMVA Consultants,1080000,exp 5 7 yr 90k required must microsoft net framework 4 5 net core must proficient net c asp net core window azure 5 year 8 year microsoft technology complete window azure application life cycle understanding secure software life cycle process 5 year microsoft azure must asp net mvc rest api c azure web app web job fabric bus function event hub application insight micro service architecture azure storage application cloud database deployment window azure application azure ci cd securing api using latest technology sql server sql like cosmos db browser specific compatibility issue knowledge office implementation must advanced object oriented programming structure dependency injection multi threading concept creating high low design documentation devops azure devops tfs jenkins github docker software using net full stack angular j web api c asp net sql server etc primary  software prototyping construction design build modify existing business tier component database object using microsoft azure platform implement complex scalable high volume pipeline interact onsite coordinator different phase project design implement maintain net core application phase software life cycle sdlc microsoft azure able define scope scope taken assumption creating effort estimate independently technical requirement interacting directly perform technical analysis implementation application necessary customization participate daily scrum sprint planning review demo grooming session fix bug reported qa uat troubleshoot fix defect planned release production issue provide estimate effort implement solution fix issue perform self peer code review provide daily weekly update corresponding status report management decent overlap availability match time zone verbal written strong collaborator across multiple team quick learner motivated player self starter able technology able deliver short duration category full time gurgaon hyderabad
445,Cloud and DevOps Engineer,Noida,Unyscape Infocom Pvt. Ltd,480000-1020000, 3 5 year aws cloud computing e configuring ec2 simple storage s3 virtual private cloud vpc auto scaling security group public private subnets route53 cloudfront cloudwatch iam elastic block storage eb elastic load balancer elb security certificate elastic cache etc knowledge aws devops process ci cd ansible knowledge java php based application deployment management e tomcat apache nginx configuration aws infrastructure monitoring tool suitable notification setup hand unix window server resolve infrastructure issue time detail website http unyscape analytics consulting help client achieving goal like campaign optimization asset optimization revenue brand performance risk management consumer journey optimization marketing consultant scientist machine learning enthusiast statistician sunita hr ph  duty aws cloud computing configuring ec2 simple storage s3 virtual private cloud vpc auto scaling security group public private subnets route53 cloudfront detailed monitoring direct connect nacl iam elastic block storage eb elastic load balancer elb understanding public private ec2 instance cloudfront cdn qualification qualification engineering graduate benefit working day 5 day working saturday sunday fixed full time 000 00 000 00 1 year preferred total 1 year preferred education secondary 10th pas preferred benefit health insurance provident fund pf paid leaf leave encashment flexible hour industry software
446,Cloud and DevOps Engineer,Noida,unyscape infocom pvt. ltd.,600000-840000,5 7 year aws cloud architecture design implementation maintenance setting infrastructure multiple aws account organizational unit delivery hand ci cd tool like aws codebuild codedeploy codepipeline hand linux o command scripting setting ec2 s3 efs rds iam security group elb deployment migration environment tomcat setup deploying web application knowledge java spring framework added benefit regularly evaluate cloud application hardware software demonstrated technology respond technical issue timely manner effective written verbal properly articulate complicated cloud report management partner positive attitude strong commitment delivering quality pro active flexible changing propose solution accordingly collaborative help critical issue ready extend extra help needed full time 000 00 000 00 aws 5 year required total 5 year required education bachelor required
453,Cloud and DevOps Engineer,Bengaluru,Pallaton Technologies,500000-700000,required qualification must 6 7 year area information security hand various security technology must knowledge vulnerability management penetration testing must understanding security risk privacy must current knowledge stay date latest cyber security advisory alert vulnerability must understanding cyber security risk management framework must knowledge network protocol bachelor degree computer science information system cissp cisa ceh relevant certification preferred desired qualification verbal written interpersonal strong analytical high attention accuracy material manner  build deploy support best class enterprise information security solution maintain broad understanding information security technology product clear understanding computer network protocol technology ip domain firewall router http http etc clear understanding risk management practice general security risk management best practice methodology evaluate manage maintain key information security tool safeguard information system intellectual customer protect confidentiality integrity availability wirtgen information asset assist sox security compliance program including testing remediation activity demonstrate awareness cyber security trend threat vulnerability etc training employee provide support normal business hour needed full time 000 00 000 00 year cloud security engineer 6 year preferred education bachelor required bengaluru karnataka preferred licence cissp cisa ceh preferred language http firewall required remotely temporarily 
464,Cloud and DevOps Engineer,Hyderabad,Datumex Infotech Private Limited,800000-1000000,strong salesforce configuration customization emphasis latest declarative configuration option avoid custom code cloud community cloud implementation must hand salesforce configuration customizations using process builder flow apex visualforce trigger etc lightning least one year knowledge latest lightning feature ui technology lightning design system lds lightning aura support legacy component lightning web component lwc creation support component proven integration using industry standard integration technique rest soap apis oath single sign sso platform event proven einstein essential qualification salesforce platform developer certification must salesforce administrator certification salesforce platform app builder 3 year salesforce developer type full time pay 000 00 1 000 000 00 per year salesforce 3 year required remotely temporarily 
477,Cloud and DevOps Engineer,Hyderabad,aThingz Solutions Private Limited,500000-2000000,detail hand aws infrastructure expert aws service application database migration aws cloud must planning migration identification risk develop mitigation plan implement working devops towards automation strong infrastructure back ground total aws fine mixture premise infra aws fine aws administrator involved deploying troubleshooting issue compute networking storage database service aws support developer using platform qualification working knowledge aws building high availability infrastructure depth knowledge wide range aws service strong design aws infrastructure based application requirement applied knowledge architectural design pattern aws strong understanding hand deploying troubleshooting issue compute networking storage database service aws strong designing implementing security aws working aws monitoring management strong linux administration posse thorough understanding internet based technology dns security ip routing ssh ftp http http email routing etc knowledge scripting automation preferred knowledge cloud platform azure google cloud plus collaborative focus working 24x7 uptime strong verbal written communication must core aws technology like elastic compute cloud ec2 auto scaling elastic load balancing elb cloudformation cf identity access management iam cloudtrail cloudwatch cw simple storage s3 elastic block store eb elastic file system efs core technology like griffin ranger atlas dataiq hortonworks hdfs full time 000 00 2 000 000 00 year griffin ranger atlas dataiq horton 2 year preferred ec2 auto scaling elb cf iam ce s3 eb efs 2 year preferred aws service strong design aws infrastructure 5 year required designing implementing security aws 5 year required education bachelor required remotely temporarily 
489,Cloud and DevOps Engineer,Coimbatore,POFI TECHNOLOGIES PVT LTD,300000-600000,deploy manage cloud instance along google cloud vm gcp storage load balancer http tcp snapshot vm image auto scaling container service deploy manage cloud instance along amazon webservices vpc ec2 route53 cloudwatch s3 efs eb auto scaling elastic load balancing s sn aws cli rds ami snapshot automate lambda beanstalk deploy manage cloud instance along azure service vm blob file recovery linux package management installing upgrading managing overall organization infrastructure managing vmware compute virtual machine window linux o vmware esxi host involved architecture design implementation sme host infrastructure cloud writing script automating simple repetitive server task using bash managing webhooks jenkins ci cd php laravel node j angular j io android platform proven system network dev ops administrator database network lan wan patch management system security e g intrusion detection system backup recovery familiarity various operating system platform resourcefulness problem solving aptitude able interact client full time 000 00 000 00 cloud 1 year preferred education bachelor preferred remotely temporarily 
492,Cloud and DevOps Engineer,Bengaluru,Aptusai Engineering Pvt Ltd,600000-2000000,aptusai engineering pvt ltd india subsidiary aptus engineering inc scottsdale arizona usa http aptusai aptus engineering inc cutting edge artificial intelligence robotics software head quartered scottsdale az aptus develops custom software solution client worldwide field artificial intelligence computer vision business process automation firmware simulation system provide wide variety service required everything necessary take idea conceptual phase prototype deployment comprised engineer developer physicist strong problem solving software founded order mind bending project many different field industry machine learning artificial intelligence even foosball help fund product research bring life aptusai engineering pvt ltd consists software team whose project lead reporting ceo aptus engineering inc employee two entity part one one common goal motivation aptus strong problem solver approach complex problem fundamental conceptual perspective aptus thrives fast efficiently position require creative mind solve complex engineering problem everything applicant require proficient comprehension linear algebra optimization mathematical modeling technique design functionality ambitious application imperative producing high quality product application include complex control system process automation dynamic optimization artificial intelligence applicant come unique solution problem even dare attempt time others individually must able research develop complex solution able communicate solution effectively others strong individual part help bring client life cloud system developer required qualification knowledge cloud system container docker vms etc deploy scalable cloud system mastery python programming numpy tensorflow opencv mastery javascript nodejs programming webgl cloud platform gcp aws azure etc web html cs php javascript python flask etc 2 year industry working complex project 4 year working team 3 10 individual software project improvement achieving best result must able solve complex coding problem check http coderbyte desired qualification linear algebra matrix operation rotation matrix graphical programming navigation system etc c uwp etc window apps progressive web apps pwas mobile android io engineering physic mathematics background bachelor degree higher computer science relevant engineering field software mechanical aerospace etc fine long prove programming proficiency full time 000 00 2 000 000 00 year total 1 year preferred education bachelor preferred remotely temporarily 
509,Cloud and DevOps Engineer,Chennai,Newlineinfo Corp,600000-1440000,2 engineer cloud engineer seeking strong knowledge system administration troubleshooting linux unix window strong networking technology including dns tcp ip ssl dhcp load balancing requires advanced troubleshooting delivering solution use sophisticated devops tool tier 2 support engineer common newly announced aws component technical poc customer understanding rdbms store including oracle mysql postgresql possession analytical problem solving devops method tool including jenkins ansible git chef docker kubernetes python bash powershell configuration alerting tool communicator verbal written must depth knowledge unix linux window configuration trouble shooting web application server nginx apache tomcat ii written verbal english two year required tier 2 support aware one devops tool scripting language open available 7 support l1 tier positive attitude able adapt based business demand full time 000 00 000 00 devops 4 year required remotely temporarily 
