Job Title,Job Description,Company Name,Location
Android Developer,"Your primary focus will be development of native android applications and their integration with back-end services Feature development and critical problem solving.

Responsibilities
Design and build applications for the android platform (native app)
Ensure the performance, quality, and responsiveness of applications
Collaborate with a team to define, design, and ship new features
Identify and correct bottlenecks and fix bugs
Help maintain code quality, improve code standards to suit product needs to suit quality and scale
Requirements

Experience requirement
Minimum 2+ years of experience as android developer
Basic Knowledge in Socket.io
Skills
Proficient with java and android
Experience with offline storage, threading, and performance tuning
Familiarity with RESTful APIs to connect applications to back-end services
Knowledge of other web technologies and UI/UX standards
Understanding of design principles and interface guidelines
Experience with performance and memory tuning with tools such as Instruments and Shark, depending on project needs
Familiarity with Google cloud message APIs and push notifications
Familiarity with chat app development with multimedia send/receive
Knack for benchmarking and optimization
Proficient understanding of code versioning tools Git
Familiarity with continuous integration",KothariTech,Mumbai
Android Developer,"Technical Skills:
Minimum 4 years of experience with android development
Publishing applications to the Play Store and is familiar with the proces
Strong knowledge of android SDK, handling of different screens sizes, have worked on graphs.
Experience in designing and building apps from scratch. Understanding of android design principles and design patterns
Good knowledge of using open source libraries in android ecosystem.
Working knowledge of offline storage, performance tuning
Working knowledge of integrating and using RESTful webservices
Understanding of testing considerations for mobile application
Experience of the Mobile application design, development, debugging and release activities

Additional Skills:
A strong work ethic and the ability to manage yourself and your time
Outstanding teamwork skills
Excellent written and verbal communication skills as well as active listening skills
Demonstrated analytical abilities
Experience managing and/or mentoring junior developers
Experience with Agile/SCRUM development methodologies. Ability to understand user stories
Experience with JIRA and version control tools like Github","Firminiq
4.8",Chandigarh
Android Developer,"Looking for 1-3 yrs of exp in Android Development.

Requirments :
Android SDK Java, JSON, XML, REST. OO programming and design patterns. Integration with APIs and third-party libraries. UI optimization for multiple screens. Willingness to take responsibility for projects and determine their trajectory. An ability to quickly learn new technologies. Enjoy experimenting and trying new things. Contributing to open source Android apps or libraries. Being familiar with Android design guidelines and best practices, especially Material Design.
No of Vacancy : 1

Desired Skills :
Android SDK, JSON, XML, REST
Walk-in Duration: Monday to Saturday - 10:00 AM to 05:00 PM

How to Apply:
Apply through Online Application Form.
Email ur resume to: hr@ecphasisinfotech.com","Ecphasis Infotech
4.5",Chennai
Android Developer,"Work Experience: 1-2 years
Location: Gurugram, India
Android Developer

We are looking for someone having good work experience in Android development with expertise in writing & debugging Android applications, experience in OOPs fundamentals, Java, SQLite, MySQL database management system.
* Responsibilities **
– Be involved in all aspects of development: playing a critical role in design, planning, development and deployment and help develop best practices for future development
– Fast prototyping of proof-of concept features/applications based on brief
– Develop and maintain new features in Mobile Application development
– Own the delivery of an entire piece of a system or application
– Use technical knowledge and creative thinking to provide the most innovative solutions
– Optimize the performance of the apps and keep up to date with the latest industry trends in mobile technologies
*Technical Skills**
– Comprehensive understanding of Android application architecture, Activities, Services, Intents, Content
– Strong OO design and programming skills in Java (J2EE/ J2ME)
– Familiar with the Android SDK and Studio
– Experience in web service integration (SOAP, REST, JSON, XML) is desired
– Architecture: MVP, MVC
*Non-Technical Skills**
– Must have excellent oral and written communication skills
– Must be dedicated to deliver high quality work and adhering to timelines
– Must be a good team player, good learner and a self starter
– Must have an ability to work independently
– Must have good analytical and problem solving skills","BigStep Technologies
4.9",Gurgaon
Android Developer,"Job ID TC-DV-030619-003
Experience 2 to 3 years
Job Location Kolkata / Pune
Academics B. Tech / M.Tech, MCA/MSc(Computer Science)
Marks 60% throughout (preferable)
Salary As per industry standard

Requirements:
Strong Knowledge of Android Java.
Strong knowledge of Android SDK , different versions of Android, and how to deal with different screen sizes.
Strong knowledge of Android UI design principles, patterns, and best practices.
Experience in offline storage, threading, and performance tuning.
Familiarity with cloud message APIs and push notifications.
Practical knowledge of Git and its applications.
Strong knowledge of Coding design patterns and Architectures like MVP/MVVM/Clean etc.
Familiarity with REST API to connect Android applications with back-end services.
Knowledge of the open-source Android ecosystem and the libraries available for common tasks.
Ability to design applications around natural user interfaces, such as “touch”.
Good verbal and written communication in English.

Job Responsibilities:
Translate designs and wireframes into high quality code.
Designing and developing advanced applications for the Android platform.
Collaborate with cross-functional teams to define, design, and ship new features.
Unit-testing code for robustness, including edge cases, usability, and general reliability.
Bug fixing and improving application performance.
Continuously discover, evaluate, and implement new ways to maximize development efficiency.
Experience with libraries such as Retrofit, GSON, Dagger 2, Data Binding, RxJava & RxAndroid.
Work with the team to meet the project deadlines.
Good To have
Knowledge in Kotlin.
Knowledge of Multi Language support in apps.
Knowledge about payment gateway integration.
Knowledge of social integration like facebook, linkedin etc.
Your Gain
You will be working with a dynamic and dedicated team in various complex projects and will get guidance from seniors regarding scalable architecture.
For job application, send your resume to career@innofied.com","innofied
4.7",Kolkata
Android Developer,"Location: Pune
Total Experience: 3+ years
No. of Positions: 1
Joining: Within 30 days
Proficiency in standard software development life cycles
Demonstration of software architecture and modeling
Very clear in OO concepts and use
Experience in unit testing and UI testing for apps
Proficient in the Android app ecosystem
Proficient in using Git","Xebrium
4.4",Pune
Android Developer,"Experience: 1 to 3 years

Required Skills: Expertise in Core Java and Android SDK, webservices or REST API architecture, database, real time database, UI/UX, layout & user interface design, network & data security, and ability to work on Android Studio.

Apply: hr@brainiuminfotech.com","Brainium Information Technologies
3.9",Kolkata
Android Developer,"At the end of the day we believe in one thing: Do What You Love. Every action and decision we make manifests in this notion. Layered within this idea are the opportunities and responsibilities that allow us to practice what we preach. We are looking for Android Developers who possess a passion for pushing mobile technologies to the limits. This Android app developer will work with our team of talented engineers to design and build the next generation of our mobile applications. Android programming works closely with other app development and technical teams.

Responsibilities

Design and build advanced applications for the Android platform.
Collaborate with cross-functional teams to define, design, and ship new features.
Work with outside data sources and APIs.
Unit-test code for robustness, including edge cases, usability, and general reliability.
Work on bug fixing and improving application performance.
Continuously discover, evaluate, and implement new technologies to maximize development efficiency.

Requirements

BS/MS degree in Computer Science, Engineering or a related subject
Proven software development experience and Android skills development
Proven working experience in Android app development and
Have published at least one original Android app
Experience with Android SDK
Experience working with remote data via REST and JSON
Experience with third-party libraries and APIs
Working knowledge of the general mobile landscape, architectures, trends, and emerging technologies
Solid understanding of the full mobile development life cycle.","Infinitive
3.4",Chennai
Android Developer,"As a Senior Developer, you will be the champion of the Android platform and would be responsible to design and develop world class mobile apps with the right technology choices. Your work will result in making twid a leading brand in the world.

Key responsibilities:
Prerequisites & Responsibilities:
Experience in complete lifecycle of app development.
Problem solving and improving application performance.
Strong logical and analytical skills.
Experience with HTTP, XML, JSON, SOAP, REST
Experience integrating PWA into apps
Experiences with Hyperlocal apps and location based services.
Experience with third -party libraries, payment gateways, wallets and APIs, analytics, experience with SVN add on.
Strong communication skills

Candidate skill sets:
4 to 6 years of experience in development of complex mobile apps on Androids. Must have developed multiple apps end to end
Experience with the Android SDK and Framework
Must have experience in developing complete apps. Startup experience will be great
Strong knowledge of Java SE
Proficiency with SQL and the relational DBM
Fundamentals in object-oriented programming, data structures, algorithm design, problem solving, and complexity analysis
Design and implement integration modules (enrolment, data sampler, Service Component, Remote Control Components).
REST API integrations
Develops clean, elegant, well-commented and reusable code which is easy to maintain and extend
Familiar with Agile / Scrum development methodologies
Experience with threaded / asynchronous environments","twid
5.0",Bengaluru
Android Developer,"Having experience in Android and core Java
Good understanding of OOP concept
Knowledge of database concept and query, Experience in SQL is a must
Source code control understanding (experience with subversion and Eclipse preferred)
Must have experience on Restful APIs
Good knowledge of UI framework
Should have worked with WebView and HTML content
Experience with version control preferred

Minimum qualification:
B.Tech/B.E. (Computer Science/IT/Electronics)
MCA
Computer diploma in development with 3+ years of experience compulsory","KiwiTech
3.9",Noida
Android Developer,"Experience: 2 - 3 Year
No. of Vacancies: 2
Job Location: Chennai
Job Type: Full Time
Job Summary

The Android developer must be able to develop and maintain Android mobile apps for both in-house and clients. Besides, He/She must have excellent programming skills as well as the candidates should be a team player. He/She should implement the new technologies to maximize android development efficiency. Moreover, the candidates should be able to follow the most recent Android and mobile technologies.

Required skills
Basic knowledge of Hybrid Application and ideas on publishing mobile applications in Android Market.
Knowledge of Java and Android SDK.
Desired Profile
Build android applications for client projects and in-house requirements.
Should deliver the projects successfully in-time with quality.
Stay up-to-date on the latest industry trends, development practices, and emerging mobile technologies.
Make use of Android frameworks to build UI faster, take control/understand client projects from start to end.","Zuan Technologies
4.9",Chennai
Android Developer,"Should have min 2 years of Experience in Android Development.
Strong OOPs fundamentals, Java, XML, Android 2.2 and above, Client-Server architecture understanding.
Sound knowledge of overall Android architecture with excellent communication & interpersonal skills.
Understanding the code base, architectural considerations, design and design decisions related to the product/project.","METADESIGN SOLUTIONS
4.1",Gurgaon
Android Developer,"Responsibilities

Must understand project requirement and technical documents.

Ability to complete the task within specified time with full accuracy.

Team player with organizational skills. Need to perform programming work in mobile application as per requirement.

Need to optimize codes and test programming modules.

Need to prepare project documentation. Good communication skills and comfortable with client interaction.

Ready to learn on own effort with ""can do"" attitude.

Additional skills in SQL, MySQL, PostgreSQL and other RDBMS. Comfortable with CSS, XHTML, XML, JavaScript, JQuery and Ajax.

Knowledge on code libraries and varied frameworks is preferable.

Candidate should possess good knowledge of project management methodologies and problem-solving skills and ability to multi-task.

Candidate must be able to complete the projects in given time and with readiness to put in extra efforts when necessary.

Desired Profile

BE/ B. Tech/ MCA or equivalent degree.

Android development experience (1-4 years)

Strong knowledge in Android APIs and Frameworks.

Fundamentals in object-oriented design, data structures, algorithm design, problem solving and complexity analysis.

Sound knowledge on object oriented programming such as C, C++, Swing etc. Expertise in Git, MySQL, XML, JSON and Web Services.

Able to write and debug cross-platform code for mobile database.

Knowledge in application logic and UI developed in Java and C++ library.

Must have the passion to do some research on programming work.

Knowledge on Java Native Interface (preferred).

Must be proficient in verbal and written English communication.

If you think you will be a good fit, please send your resume to hr@madstech.com","MADS Technologies
4.9",Noida
Android Developer,"We are looking for good Android developers who have an eye for great design & can produce great apps for the Google Play Store.

Responsibilities:
Work with our designers to produce user interface and workflows in an app
Implement and release features faster while writing good code
Send daily builds to stakeholders and gather feedback
Be creative in using Android Studio and related tools to deliver code faster
Take ownership of the apps you built & maintain them by following software engineering best practices
Requirements:
Thorough understanding of core Android concepts
Strong on programming fundamentals with a good understanding of design patterns
Experience in creating apps that consume REST API services
Experience in making/maintaining apps on android phones and tablets
Working knowledge with Custom view, Animations, Services and Database
Solid understanding of the full mobile development life cycle
Should have published at least one original Android app
Working knowledge in Git/Mercurial
Keen interest / experience in building apps with React or React Native
Working knowledge in using PhotoShop/Sketch (optional)
Experience in using Origami and other UX prototyping tools (optional)","HappyFox
4.5",Chennai
Android Developer,"Design and build advanced applications for the Android platform
Collaborate with cross-functional teams to define, design, and ship new features
Work with outside data sources and APIs
Unit-test code for robustness, including edge cases, usability, and general reliability
Work on bug fixing and improving application performance
Continuously discover, evaluate, and implement new technologies to maximize
development efficiency",Delta Star Technologies,Noida
Android Developer,"Job Description

Excellent knowledge in core Java
Hands-on experience in the full life cycle of Android application development
Strong knowledge in RESTful web services
Good Knowledge of Android SDK's
Push Notifications & FCM
Experience in Payment gateway integration in mobile apps
Experience in Gradle.
Locations and Map API's
Strong knowledge of Android SDK, different versions of Android, and how to deal with different screen sizes.
Familiarity with RESTful APIs to connect Android applications to back-end services.
Strong knowledge of Android UI design principles, patterns, and best practices.
Experience with offline storage, threading, and performance tuning.
Ability to design applications around natural user interfaces, such as touch.
Familiarity with the use of additional sensors, such as gyroscopes and accelerometers.
Knowledge of the open-source Android ecosystem and the libraries available for common tasks.
A portfolio of Android apps in the Play Store is a plus
Proficient understanding of code versioning tools{{such as Git, Mercurial or SVN}}","MAAN Infoweb Solutions
4.7",Jaipur
Android Developer,"Job Description:
About Us:

MediaAgility is a premier global digital consultancy on a mission to engineer solutions to help innovators succeed. The company is headquartered in Princeton, NJ with a presence in 5 countries. We are committed to -

a. Delivering exceptional services to our clients

b. Building a people-first company

c. Being global, diverse, and inclusive in all our operations

As a premier Google Cloud partner, we take our clients from idea to impact with Strategic Thought Partnership and Intelligence Solutions. We offer a full spectrum of services from Digital Advisory (consulting), Digital Transformation (implementation), and Digital Operations (continuous improvement). We do this through a unique Braintrust engagement model, Agile development, and deep expertise on the latest technologies.

Job Description:
Design and build advanced applications for the Android platform
Collaborate with cross-functional teams to define, design, and ship new features
Work with outside data sources and APIs
Unit-test code for robustness, including edge cases, usability, and general reliability
Work on bug fixing and improving application performance
Continuously discover, evaluate, and implement new technologies to maximize development efficiency
Required Skills:
3-4 years in building Android applications using Java
Hands on experience using RXJava , threads , schedulers , services
Experience in creating custom libraries
Knowledge in Android jet pack components is plus
Must have experience in architecture patterns(MVVM with data binding) and other patterns MVP, Viper, MVC
Deep understanding of Factory, Adapter, Observer, Singleton and other behavior patterns
Must have worked on Offline Sync, Caching, Local Storage, Realm/Room/SQLite databases
Desired Skills:
Having knowledge on Kotlin is a plus
Have knowledge of REST & SOAP paradigm, service-oriented architecture and distributed systems
At Least 4-5 apps published on play store.
3+

Qualifications:
Qualification
B. Tech/B.E./BCA/MCA/M. Tech/M. Sc or relevant experience
Excellent verbal and written communication skills.

Skills Required:
Android, Java, MVC

Good to have Skills:","MediaAgility
3.9",Gurgaon
Android Developer,"Looking for Android Developer with 1-4 Years of Exp.

Designation : Software Developer/ Senior Software Developer(Mobile Application Developer)

Experience : 1-4 years

Location : Pune

Skill : ios/ Android/ Java/ Mobile Application Development

Job Type: Full-time

Experience:
total: 1 year (Required)
ios development work: 1 year (Preferred)
Android development: 1 year (Required)
Education:
Bachelor's (Required)
Programming Languages needed:
Java (Preferred)","Bar Code India Ltd
3.4",Pune
Android Developer,"Job Description

*
Responsibilities:
*
Zorang is seeking Software Developers for its rapidly growing Technology team in order to build the next generation of services and applications that will change people's lives for the better.

We focus on Ecommerce Implementation and Development work. We are into both the verticals- Service based as well as Product based. We have our HQ based out of San Francisco, Bay area, US and offshore team puts up in Gurgaon and Pune location.
*
If you are:
*
Passionate about beautifully designed app experiences;
*
Fascinated by all aspects of application development, from brainstorming and design to implementation and release;
*
Team player;
*
Write clean and maintainable code.
*
Qualifications:
*
Strong foundation in data structures & algorithms, OS, I/O, concurrency;
*
Excellent knowledge of Java Technology Stack, Mobile Development, and Android eco-system.
*
Good understanding of mobile app UI/UX and Material Design;
*
Experience in video and media based development projects (video players, DRM, OVPs, Advertising, Analytics) is beneficial
*
2-5 years of software development experience in Android;
*
Excellent debugging and optimization skills;
*
B.E/B.Tech in Computer Science or equivalent.
*
Bonus Points for:
*
Being good with RxJava, Lambda expressions, MVP, TDD, Unit Testing, Jenkins CI, Kotlin
Job Type: Full-time

Salary: ₹300,000.00 - ₹700,000.00 per year

Experience:
Android development: 2 years (Preferred)
total work: 3 years (Preferred)
Java: 1 year (Preferred)
Programming Languages needed:
Java (Preferred)
Work Remotely:
Temporarily due to COVID-19",Zorang Technologies,Gurgaon
Android Developer,"Technical & Non- Technical Skills:
1)Java (J2SE), SQLite/MySQL, Android SDK with Eclipse
2)PHP, jQuery, HTML/CSS

No. of vacancies:
2

Qualification :
Graduate (preferably BE / BTech)

Experience :
6 months - 1 year on Android based mobile application development
We are looking people with go-getter attitude. Here you are likely to get a rewarding career and unlimited earning opportunity. Experienced professionals are eligible for this profile. To get more details about this opportunity, send your queries to hr@webguru-india.com or call +91-033-40200884",BrochureGuru,Kolkata
Android Developer,"Dear Candidate,

We have an urgent requirement for an Android Developer.

Experience- 1+ years

Location- Noida

Notice Period-Immediate/15 Days

Skills- Android Studio, Android Json, Android Sdk

Interested Candidates can apply directly or can call on 9311363705.

Job Type: Full-time

Experience:
Android development: 1 year (Preferred)
total work: 1 year (Preferred)
Education:
Bachelor's (Preferred)
Programming Languages needed:
Java (Preferred)","Alps Softech Solution Pvt Ltd
2.3",Noida
Android Developer,"Description
Designation: Android Developer
Experience required- 1-4 years
Reporting To: Team Lead
Vacancy: 4
Cab- No
Working Days: Alternate Saturday off
Shift: 9:00 am to 6:00 pm

Skills - Exp required
Knowledge on java, working with APIs, GIT, Back-end skills, Android SDK","forstaffing india
4.8",Noida
Android Developer,"Strong knowledge on Core Java, OOP concepts, Android SDK, Android Studio and Gradle
Must have published at least one app on Google Playstore
Experience working with remote data via web services, REST and JSON
Experience with third-party libraries and APIs
Experience with Maps, Location Tracking, Social Media APIs, FCM
Data handing using SQLite database, Preferences
Should have good understanding of design patterns and material design
Good to have experience on Kotlin and Hybrid mobile application development","SplendorNet Technologies
4.3",Pune
Android Developer,"We are looking for an Android developer responsible for the development and maintenance of applications aimed at a vast number of diverse Android devices. Your primary focus will be the development of Android applications and their integration with back-end services.
Responsibilities
Translate designs and wireframes into high quality code
Design, build and maintain high performance, reusable, and reliable Java code
Ensure the best possible performance, quality, and responsiveness of the application
Identify and correct bottlenecks and fix bugs
Help maintain code quality, organization, and automatization
Job Types: Full-time, Volunteer, Walk-In
Salary: ₹240,000.00 - ₹360,000.00 per year
Experience:
Android development: 2 years (Preferred)
work: 2 years (Preferred)
Education:
Bachelor's (Preferred)
Programming Languages needed:
Java (Preferred)
Work Remotely:
No","Lasting Software Pvt ltd
5.0",Panchkula
Android Developer,"Responsibilities
Design and build advanced applications for the Android platform.
Write scalable and maintainable code solutions for complex engineering challenges.
Unit-test code for robustness, including test cases, usability, and general reliability.
Work with cross-functional team including designers, information architects, backend developers to create optimum integration solutions.
Understand and follow standards, guidelines, and best practices adopted in the project.
Develop high quality Front End/UI patterns for mobile devices.
Publish apps on App Store.
Keep abreast of technology trends and advances in web / mobile technologies.
Must Have
2- 4 yrs of experience with Strong OO design and programming skills in Java (J2EE/ J2ME).
Solid understanding of the android app development life cycle.
Excellent knowledge of Android SDK.
Knowledge of SQLite, MySQL or similar database management system.
Excellent working knowledge of Eclipse.
Strong understanding of mobile UI guidelines and best practices.
Experience developing and distributing applications via enterprise channels or public app stores.
Excellent knowledge of working with dynamic data (e.g., JSON, XML, AMF) through various interface types (e.g., REST, SOAP).
Must be able to handle multiple projects and deadlines.","xicom technologies
4.5",New Delhi
Android Developer,"We are looking for android developers who have a deep understand of programming and android programming than just making a basic android app.

Experience Openings CTC
Interview Process
Machine Round TestFace to Face Technical RoundHR Round
Apply Now Share Job
Android Developer
Experience 00 - 02 Years

CTC 3.2 LPA - 4.5 LPA
Interview Process Machine Round Test, Face to Face Technical Round, HR Round
Apply Now Share Job
What is the role of Android Developer at Webkul?

Webkul has been the best-selling and the most used mobile operating system in the world since 2011. Android applications are intuitive and accessible. These apps can be leveraged to create a multi-channel / omni-channel customer experience.

We are a team of top-notch full stack developers that has great hands-on experience with android app development tools and framework. We build next-generation native and cross-platform mobile apps. We have collectively published more than 200 apps on the Google Play Store and Apple App Store.

Our team at Webkul transforms its vivid ideas into a game-changing mobile app that deliver digitally transforming and high performing results.

We build mobile applications with infinite possibilities to empower one’s business with our mobile app development services.

What will you be doing as an Android Developer at Webkul?
Building app functionality and UI.
Collaborating with other team members.
Tackling databasess and APIs.
Performing unit testing.
Fixing bugs.
Staying up-to-date with new technologies.
What We Are Looking For?
Expertise in Java.
Vital Android SDK Concepts.
Decent experience with SQL.
Knowledge of GIT.
XML Basics.","Webkul Software
4.4",Noida
Android Developer,"looking for Android developer for 3-4 months contract.
Remote work
Experience : 4+ years experience
Immediate joiner
Skills-
Android NDK Developer
Strong knowledge in building infrastructure in C/C++ using the Android NDK is a must.
Strong design and development skill in C/C++, Java;
Having experience in migrating 32bit NDK code to 64bit is a plus.
Experiance in working with Webview and JavaScript.
Understanding of unit testing using Junit or similar framework
Job Type: Contract
Education:
Bachelor's (Preferred)
Programming Languages needed:
Java (Preferred)
Industry:
Software Development
Work Remotely:
Yes","Infritz Systems
4.0",Pune
Android Developer,"1-3 years of experience in developing high-quality code for Android Application
Strong knowledge of Android SDK and NDK, Java;
Experience of working on Kotlin
Experience with React Native
Sound knowledge of Android Activity life-cycle.
Knowledge of Firebase and Postman
Familiarity with RESTful APIs to connect Android applications to back-end services.
Identify and correct bottlenecks and fix bugs.
Familiarity with RESTful APIs to connect Android applications to back-end services.
Experience to release the applications on the Google Play Store.
Develop, test, and maintain high-performance Kotlin/Java code integrating RESTful APIs and other external data sources
Strong knowledge of Android UI design principles, MVVM, MVP Design patterns and best practices, Unit-test cases, Fragments, Custom view component, Java, Retrofit.
Must be well versed in developing Native Android Applications Independently.

Job Type: Full-time

Experience:
Android development: 2 years (Preferred)
work: 2 years (Preferred)
total work: 2 years (Preferred)
Education:
Secondary(10th Pass) (Preferred)","Antier Solutions
4.0",SAS Nagar
Android Developer,"Job Description

About Us

We know that people are our ""greatest asset"". Our staff’s professionalism, innovation, teamwork and dedication to excellence have helped us become one of the world’s leading technology companies. It is these qualities that are vital to our continued success.

As a Ness employee you will be working on products and platforms for some of the most innovative software companies in the world. The opportunity to evolve your expertise by using new cutting edge technologies will expand your horizons and create an exciting work environment. You’ll also gain enormous knowledge working alongside other highly skilled professionals that will help accelerate your career progression.

At Ness we treat our values of rigor, innovation and partnership with the highest priority and they are placed at the very core of our business — to guide us through our daily operations and interactions with our customers. We offer our employees exciting and challenging projects across a diverse range of industries, as well as the opportunity to collaborate with a group of forward thinking, capable partners around the globe.

About Company

.

Roles and Responsibility

We
are hiring Android Developer based out of our Ness Bangalore
Development Center. Suitable candidature is willing to perform hands-on coding
/ technical role.
3 to 7 years experience on Android app design and
development.
Strong practical experience in Kotlin, Java, Android
frameworks.
Strong experience in designing UI, debugging complex UI
layouts and interactions.

Desired Skills

3 – 7
years of experience
Excellent
communication & presentation skills.
Willing
to work from client location.

Recruiter Name
Kavitha Siddaraju

Recruiter Email Id
Kavitha.Siddaraju@ness.com","Ness Technologies
4.1",Bengaluru
Android Developer,"Roles & Responsibilities:

Design and development of professional business applications for the Android platform.

Developer at heart with strong focus to learn and implement latest enhancements in Android.

Collaborate with multi-functional teams to define, design, and ship new features in a dynamic work environment.

Create captivating and interactive mobile experience for Android devices

Implement designs that are asynchronous, responsive and provide a rich user experience across the mobile platforms

You love turning excellent design into beautiful applications/products

You enjoy developing apps that delight users

Youre comfortable working in a team that deals with ambiguity every day

Have great ideas about how to use the latest Android features to make the app the best in class

Productively contribute to development projects in an agile software development environment, participate in sprint planning, task breakdown and daily stand ups

REQUIREMENT:

Proficient with Android SDK, Java (Kotlin - nice to have), NDK.

Experience with MVVM architecture, Android jetpack, SQLite and knowledge of firebase.

Deep understanding of google design principles and interface guidelines

Familiar working with RESTful APIs, third party libraries e.g. retrofit and volley and knowledge of push notification services.

Experience with Reactive programming - RxJava/RxAndroid/RxKotlin

Knowledgeable with performance tuning, threading and offline storage.

You have an understanding of best practices - unit testing, code reviews and CI/CD.

Understand code versioning tools viz. Git, Mercurial

Extra Points if you:

Hands-on experience writing high quality unit and integration tests.

Experience in writing and maintaining Gradle tasks and dependencies.

Have experience with developing SDK or library.","Simform
4.1",Ahmedabad
Android Developer,"Job Title:

Android Developer

Job Description:

We are looking for an Android developer with 2+ years of experience in developing Android Apps. The developer should have experience with several of the following technologies:

1. GPS and location based technologies.

2. Device camera, Json Web Services, integration with contacts and other Android API.

3. Push Notifications & Local Notifications, Facebook & Twitter integration.

4. Experience with multi-threaded, asynchronous code.

5. Good understanding of core java concepts and android SDK.

6. Good understanding of design pattern.

7. Diagnosing and optimizing performance problems.

8. Interacting with web service.

9. Integration experience with a native SDK is desirable.

10. Strong problem solving, critical thinking skills and Proficient understanding of code

11. Good Knowledge of SQLite

We are looking for individuals with a positive attitude, willingness to learn and grow as well as coach others. The ideal candidate would be required to know best practices, new technologies and general industry trends.

The hired individuals will receive on the job training, coaching and mentoring to allow you to grow to your full potential.

Company Profile:

Ecsion Inc. USA & Ecsion Research Labs Pvt. Ltd. is a software solution company developing cutting edge software in various technologies including .Net, Sql Server, Php, my Sql, Drupal, Wordpress, iOS and Android Apps development, Java, Javascript, JQuery, Python, Selenium and other technologies.","Ecsion
5.0",Nagpur
Android Developer,"Embien Technologies, one of the leading IT companies in Madurai, is looking for Android Developer for working in our Madurai development center. Interested candidates with up to 3 years experience in Android development may apply to careers@embien.com.",Embien,Madurai
Android Developer,"Location: New Delhi, India

Job Descriptions:
We are looking for an Android developer who possesses a passion for pushing mobile technologies to the limits and he/she will work with our team of talented engineers to design and build the next generation mobile applications. You will need to work collaboratively with team members and other departments designing and developing new applications. You will be developing mobile and tablet applications for Android and manage/deliver the entire app life cycle: concept, design, build, deploy, test, release, and support.

We are looking for technologists who are driven, energetic, humble, and collaborative in their relentless pursuit of creating business and customer value. You will also believe in the power and joy of Agile teams that practice iterative, data-driven product development and ship code frequently. Feel complete ownership of the quality of their code and are passionate about mobile apps and creating best-in-class user experiences. You will be reporting to the project manager and will work with an outstanding team of mobile developers to serve a vast portfolio of clients of varying sizes and sectors.

Desired Skills and Experience:
More than 3 years of experience in developing either mobile apps for Android or web/desktop applications in Java
Have worked on and published at least 3 Android applications
Excellent working knowledge of an objective oriented language (Java, C++, Objective-C, C#, or similar)
Possess a solid understanding of the Android ecosystem and familiarity with Android APIs – ideally as far back as 2.2
Experience with Android SDK
Experience with web service and collaborating third-party libraries and APIs
Working knowledge of the general mobile landscape, architectures, trends, and emerging technologies
Experience working with remote data via REST and JSON
Strong CS fundamentals and competency in data structures, algorithms and software design
Excellent automated testing practices and demonstrated track record of launching production-ready code
You must be self-motivated, capable of managing your time well, and work efficiently without supervision
If interested please mail your Resume/CV at careers@pragnosismechsoft.com",Pragnosis MechSoft,New Delhi
Android Developer,"Hi,
We have an Urgent requirement for Android Developer
Skills - Android Studio, Android SDK, Eclipse, etc
Location - Mohali
Job Type: Full-time
Salary: ₹10,000.00 - ₹20,000.00 per month
Experience:
total work: 1 year (Preferred)
Programming Languages needed:
Java (Preferred)
Work Remotely:
No","Meander Software Pvt. Ltd.
4.0",SAS Nagar
Android Developer,"Job Details


Qualification: B.E/B.Tech IT or Software Engineering.

Number of Vacancies: 2 Vacancies

Experience: 3 - 5 Years

Work Status: Full time

Salary: As per industry

Job Description
Excellent technical knowledge of Java for Android and the Eclipse IDE.
Demonstrates strong experience/knowledge of the Android SDK.
Excellent knowledge of the Android SDK.
Knowledge of XML and JSON a requirement.
Knowledge of SqlLite and a working experience in SQL databases.
Knowledge of SqlLite and a working experience in SQL databases.
Coding standards, organizational programming skills and good commenting practices is important.

Interested candidates may apply by mailing their resume on hr@compaddicts.in or by filling application form.","CompAddicts Infotech
4.0",Lucknow
Android Developer,"Skills Required :
1 to 4 years of work experience as an Android Developer
Experience in developing B2C mobile applications
Expertise in the development and implementation of mobile applications with custom UI components
Experienced in memory management and in designing high-performance apps
Experience working with Google Maps and Social APIs
Experience working with Java, Kotlin and the Android SDK.
Experience in shipping applications through the Play store
Well versed with mobile UI/UX conventions
Experience in using GIT

Responsibilities :
Work on bug fixing and improving application performance
Unit-test code for robustness, including edge cases, usability, and general reliability
Take ownership of the features assigned right from estimating timelines to Production release","NDOT
3.4",Coimbatore
Android Developer,"We are looking for a induce and talented Android Developer to join our team. Please find the JD below for your better understanding and If you are having these skills then share your CV.

Job Summary

1. Android,
SDKs
Android Studio,
Mobile application development,
Familiarity with restful APIs to connect android applications to backend services.
Knowledge of different versions of Android, & how to deal with screen sizes.

Responsibilities and Duties

* Design, build, maintain, high performance, reusable & reliable code.
Translate designs & wire frames in to high quality code.
Ensure the best possible performance , quality, responsiveness of the application.
Help maintain code quality, organisation & automation.

Job Type: Full-time

Salary: ₹8,000.00 - ₹30,000.00 per month

Experience:
Android development: 1 year (Preferred)
work: 1 year (Preferred)
total work: 1 year (Preferred)
Education:
Secondary(10th Pass) (Preferred)
Programming Languages needed:
Java (Preferred)",X-Kode Studio,Panchkula
